Iteration, HV Value
1,0.4520931984141289
2,0.45858718173567714
3,0.4613784204153243
4,0.4639389113183558
5,0.46810001197145124
6,0.4717698006329531
7,0.47344959136840403
8,0.4783972747837713
9,0.47841426727254033
10,0.47926531875930084
11,0.4792727509351807
12,0.479294026268396
13,0.47933077320427697
14,0.47937369561209353
15,0.4794212996991855
16,0.4801738717693002
17,0.4845779199688944
18,0.4845784906529746
19,0.4846779207001055
20,0.48467792239787855
21,0.4847019120121438
22,0.4847233323793133
23,0.48474580502765746
24,0.48474685464217043
25,0.48475234824681296
26,0.4847784683837914
27,0.4847836452405329
28,0.4848039251108784
29,0.4848488452319329
30,0.48487884489440886
31,0.4848982098423083
32,0.4851330280851837
33,0.48515635563930226
34,0.4851718367557365
35,0.48517527967264673
36,0.4863784731263495
37,0.48638207149032237
38,0.48639037852133565
39,0.48639612498155405
40,0.4863963827173746
41,0.48688839642694615
42,0.4869003806096898
43,0.4869005320686544
44,0.4869046463585313
45,0.4869062235589755
46,0.4869114514670545
47,0.486916012028557
48,0.48692132023554274
49,0.48692132025096685
50,0.4869213206484881
51,0.48775597116696634
52,0.48776477057569717
53,0.48845067069351766
54,0.48845067686508276
55,0.4884506802321261
56,0.48845317361262325
57,0.4884738464875149
58,0.4884738464875149
59,0.4884744938859188
60,0.48913793460811517
61,0.48913793460811517
62,0.4891511396029011
63,0.48916171698436767
64,0.48918496763015845
65,0.4891855812190609
66,0.4892974543592181
67,0.4893088235773488
68,0.48930884072850683
69,0.489308986891091
70,0.4908091863029479
71,0.49106290854724666
72,0.4910629477863966
73,0.49106300811005416
74,0.4910638378178061
75,0.49168379270383733
