Objective1,Objective2,Objective3
26,418.5681788014617,2514.9580539007093
29,393.20995558182165,2643.6324778827898
25,440.2890552044295,2660.272763016742
25,442.83378157664083,2648.2830918589925
28,396.9264183531726,2603.815932797207
29,393.20995558182165,2643.6324778827898
27,406.48327187369387,2562.663543655115
26,418.3392573042448,2516.184910491138
26,412.7760510577064,2551.3102894742333
28,397.6809955148706,2599.798263075276
26,413.14881438792446,2536.7626202231886
27,403.1756491437177,2590.823677422153
27,403.4690878252725,2571.687223374044
26,410.6346231860678,2554.6770246648084
27,403.1756491437177,2590.823677422153
25,440.2890552044295,2660.272763016742
27,402.4210719820197,2594.8413471440845
25,442.83378157664083,2648.2830918589925
25,442.83378157664083,2648.2830918589925
27,402.4210719820197,2594.8413471440845
25,440.2890552044295,2660.272763016742
29,393.20995558182165,2643.6324778827898
25,440.2890552044295,2660.272763016742
25,440.2890552044295,2660.272763016742
