Iteration, HV Value
1,0.6111080283237438
2,0.6123502710723057
3,0.6132429637154864
4,0.6144889884039922
5,0.6155042342061632
6,0.6171439716703703
7,0.6177979846584928
8,0.6187353954362087
9,0.6196346602488967
10,0.6198346884665548
11,0.62020904265162
12,0.6218811996035918
13,0.6219156194694246
14,0.6274462657866925
15,0.6276404135743889
16,0.6276756839647778
17,0.6278760206503267
18,0.6279064168195722
19,0.6280448583394804
20,0.6280650139212498
21,0.6295923396180474
22,0.6298831345889945
23,0.6307777597642996
24,0.6307833388850003
25,0.6308021982176636
26,0.6308724095570657
27,0.6319887726266378
28,0.631849478995775
29,0.632772909574821
30,0.6329985003712515
31,0.6329297755702444
32,0.6329446951705012
33,0.6327467326695049
34,0.6332741800534816
35,0.6336233110022556
36,0.6331887916208065
37,0.6377599866254154
38,0.6377629810228186
39,0.637764048156021
40,0.6378730383902402
41,0.637957124938912
42,0.6379601086599113
43,0.6380289854587695
44,0.6380405491769704
45,0.6380519089399284
46,0.6392670790679886
47,0.6404607268394622
48,0.6405220471253993
