Iteration, HV Value
1,0.6039965745119437
2,0.6125305792217749
3,0.6153381349119709
4,0.624518893654829
5,0.6249498077280924
6,0.6250251223290042
7,0.6250431748456418
8,0.6250522846943664
9,0.6250557374612499
10,0.6250931485026244
11,0.6251020356207899
12,0.6251131403512747
13,0.6251354965873628
14,0.6251381618114537
15,0.626139702015321
16,0.6261568427815999
17,0.6261860975523431
18,0.6261861019591445
19,0.6264173262771177
20,0.6264336057940391
21,0.6268951544114375
22,0.6273452196770977
23,0.6291441915048837
24,0.6291502205287696
25,0.6295195601286027
26,0.6296279576864872
27,0.6297058031265476
28,0.6300458947598342
29,0.6300458972339374
30,0.6302069506149733
31,0.6302086458420849
32,0.6302231431327301
33,0.6303048108504391
34,0.6311562852786156
35,0.6311753607876532
36,0.6311753610316464
37,0.6311758957934697
38,0.6311760403625566
39,0.6311760415767583
40,0.631181347074088
41,0.6311813495884396
42,0.6311815477871026
43,0.6311817874976915
44,0.6312216391846794
45,0.6312223178632197
46,0.6312230938040349
47,0.6319381710017445
48,0.631939805096541
49,0.6319428685870138
50,0.6319436664920342
51,0.6319438378914096
52,0.6319438386072929
53,0.631944294179757
54,0.6319442943024874
55,0.6319854086278452
56,0.6319854121854723
57,0.631985412473289
58,0.631985412473289
59,0.6319858490874091
60,0.6319860351982217
61,0.632647727517932
62,0.6331799061572657
63,0.633180926734479
64,0.6331810364919536
65,0.6331813272560861
66,0.6331818173665681
67,0.6331818177641425
68,0.6331818178753228
69,0.6343396416010553
70,0.6345079182580542
71,0.6345101839056568
72,0.6345107324527612
73,0.6345107327825615
74,0.6345114038118079
75,0.6345162565752865
76,0.6345162804248907
77,0.6345187187486472
78,0.6345187436550092
79,0.6345187501106958
80,0.6345202862074255
81,0.6345320201549561
82,0.6345320201549561
83,0.6346770023285775
84,0.6346770023285775
