Iteration, IGD
1,0.6827126276503848
2,0.6662089528792758
3,0.6596361575786606
4,0.646964277715469
5,0.6378557112519144
6,0.621610215396246
7,0.6068273065973875
8,0.5963632142605649
9,0.5847610294571356
10,0.5767254758247276
11,0.570757443638908
12,0.5624446735551021
13,0.5469893018996185
14,0.543003125821457
15,0.5426485125853027
16,0.5324755622353998
17,0.5252156469821613
18,0.5157943219125819
19,0.5090432760989245
20,0.5023668369295032
21,0.49546588286923504
22,0.49112538850249104
23,0.48388997263018024
24,0.4800624832728955
25,0.47546159302592345
26,0.47129614105038264
27,0.4662994016274867
28,0.4585872494037955
29,0.45557884261363235
30,0.44910927303398546
31,0.44047295628040606
32,0.43466489871086367
33,0.4251578041500181
34,0.42303018485501714
35,0.41427278003285734
36,0.41062526666119026
37,0.4071720395769946
38,0.40434815497144877
39,0.4033656042395431
40,0.39759221394935085
41,0.39678445972359677
42,0.39080472142190276
43,0.3895208177063836
44,0.38477465212086254
45,0.37728070731771607
46,0.375659996404413
47,0.37295261094137006
48,0.3712768446786118
49,0.36925637559528973
50,0.36576251008891264
51,0.3658432091766485
52,0.362647989913231
53,0.35746692566622534
54,0.3494965861406049
55,0.34871530464172085
56,0.3455890399885942
