Objective1,Objective2,Objective3
29,428.74013008294844,3171.3587199913895
28,431.86071210428327,3256.5924319628775
28,424.02894028376517,3276.8120356417194
28,436.4009562913506,3195.324782773319
29,417.9905010243986,3216.7533533225896
29,428.6238632421712,3180.0753941732946
29,425.97861487814697,3184.2721840141626
29,418.6569037532883,3215.1226958917728
29,421.80712077558945,3207.6785252346276
27,456.32809792156223,3422.0196967028373
29,410.97248776604516,3307.815495144476
29,414.23209954218834,3238.840870031345
