Objective1,Objective2,Objective3
24,1827.8203653595958,3028.1328775881793
24,1764.9235209066853,3086.278009756742
24,1763.143474908008,3086.2780097567424
24,1827.8203653595963,3028.132877588179
24,1860.0801197911085,3015.6894648953885
24,1817.868084553477,3044.5520272232648
25,1682.893438044871,3602.284988668126
24,1832.8546236099126,3022.261400278035
24,1820.6469354743442,3028.5858915450185
24,1872.6859221392442,3010.18630941744
24,1834.3398408257488,3021.356228300525
24,1831.912142067537,3027.92816368317
24,1794.1766204999656,3053.684837523556
25,1748.1934692007057,3334.8045604450795
25,1704.4979843739272,3507.6936759743558
24,1782.815112835798,3066.7073403611985
24,1819.50796782312,3028.871859236341
25,1723.8981223747521,3361.4073781117418
24,1782.8151128357981,3066.707340361198
24,1836.1198868244264,3021.3562283005244
25,1712.4335666238462,3449.6516340475973
24,1763.143474908008,3086.2780097567424
25,1721.315749015526,3367.693345803064
24,1787.952870747156,3065.643415983391
24,1787.952870747156,3065.643415983391
25,1748.1934692007057,3334.8045604450795
25,1714.2005972670395,3444.5801991492845
25,1690.2040554280532,3585.3544340061735
24,1804.8253976407132,3047.1501339902225
24,1832.8546236099126,3022.261400278035
24,1782.8151128357981,3066.707340361198
25,1709.331745887018,3459.3181759471363
25,1748.1934692007057,3334.8045604450795
24,1859.4069793564497,3015.689464895389
24,1756.9269802905787,3209.630201999556
25,1721.315749015526,3367.693345803064
24,1760.9621873897315,3168.6241567886327
24,1762.4605931574395,3092.1821749142
24,1766.643709506033,3084.893546572415
25,1709.331745887018,3459.3181759471363
25,1746.2606534979025,3346.4966773762008
24,1840.7997289897496,3017.605048230777
25,1694.2896351821544,3575.4918127092687
24,1804.8253976407132,3047.1501339902225
24,1776.6054145375913,3073.995968702983
25,1730.7403719686638,3361.4073781117413
25,1698.4872328313913,3517.4387841482826
24,1795.8968090993133,3052.3003743392287
25,1736.145590595929,3351.5929605634205
24,1780.7921767538242,3070.141561523987
24,1721.8089475955824,3380.383330729306
24,1780.105649135616,3072.6115055186556
24,1760.9621873897315,3168.6241567886327
