Iteration, IGD
1,0.3809748564571384
2,0.4378820070255231
3,0.4608737026837263
4,0.501362671381492
5,0.4760513631456709
6,0.43217411574489817
7,0.40981589429854126
8,0.3599814620895685
9,0.34891286066745003
10,0.33158695930206555
11,0.32205216123899183
12,0.29898521590116905
13,0.2694407419166535
14,0.2680174575741843
15,0.2603461094449939
16,0.2413482967324995
17,0.23557505869428
18,0.2223637030580342
19,0.20751272333209414
20,0.20031555468550194
21,0.17551419474337268
22,0.16883597463921196
23,0.19543634335099225
24,0.19110701613794934
25,0.16708430449936867
26,0.16542376305329484
27,0.16671847251747754
28,0.1586257043782057
29,0.14717049425475942
30,0.14356423583713385
31,0.14232179699738828
32,0.13684307783526584
33,0.13466983186232792
34,0.13125957608783156
35,0.12979423831003334
36,0.1269555223030135
37,0.12576730934799424
38,0.12291737484358084
39,0.11896149618602028
40,0.11807989154766034
41,0.11570766774378619
42,0.11477924043500665
43,0.10906712019947133
44,0.10414510149922991
45,0.10067042152431828
46,0.09792681572006989
47,0.09700865619927797
48,0.09544798702987585
49,0.09458034568817214
50,0.08781441724479715
51,0.08671177104534268
52,0.08656715253771206
53,0.08600017880827325
54,0.08586524374099691
55,0.08036039608353454
56,0.07670557085907882
