Objective1,Objective2,Objective3
25,1678.1758318884588,3154.511679404762
25,1688.3864715097445,3095.892458682723
25,1772.6738030399874,2927.8932040540008
24,1764.5865927573927,3049.324845780249
25,1760.4205154635652,2937.480373745561
25,1686.218341833206,3139.3118908104775
24,1764.5865927573927,3049.324845780249
25,1751.8681147902837,2965.2828662823736
25,1818.8705582715152,2901.974674530264
25,1851.5635088253143,2894.9543895994675
24,1764.5865927573927,3049.324845780249
24,1862.3806159533237,2974.2799459554544
25,1735.1631624925622,2982.131297217797
25,1661.8585850898546,3207.785665496611
24,1760.4332882596266,3050.4118697030294
25,1720.9390348147328,3031.1695532082254
25,1734.7578616156686,3023.0051498303656
24,1811.5395153854736,3006.700616943
24,1773.7747689082657,3012.164067006347
25,1654.122349558203,3238.169472378768
24,1773.7747689082657,3012.164067006347
24,1746.4432495643823,3056.697747869952
25,1693.0311172395695,3051.185754342428
24,1769.0890116669007,3012.164067006348
25,1686.0540153992235,3147.5314997639407
24,1828.3833724422273,2979.743396018803
24,1764.5865927573927,3049.324845780249
