Objective1,Objective2,Objective3
25,743.3283024285009,1833.5011148995832
26,749.3477354765552,1806.1570213714358
40,698.5690008807147,2778.074086285354
26,749.3477354765552,1806.1570213714358
37,702.4117849665321,2640.5610370249588
39,701.4033747325542,2369.907315670272
35,704.6756700024044,2269.944209924374
28,723.6811969001235,1890.4632755623352
31,715.1294402022329,2072.3517870505657
30,718.5120441893114,1941.5977798094355
37,703.7374947931264,2330.5735203531585
32,712.4303236429841,2108.9014725772927
27,729.1578851252264,1853.885973279281
29,721.6433976670085,1911.0753658522233
39,700.2667826489316,2708.8537764875064
38,701.4067786065066,2676.010840691526
26,736.2996433514658,1859.9593889604416
34,706.0804739110213,2241.600041220797
27,732.500014324519,1845.7664785380955
33,710.2500336560132,2175.1122338494774
26,734.5258599333686,2184.4451999563644
34,708.7383088335308,2208.649598319776
30,719.785158327503,1928.5379374565994
31,713.4733509259624,2134.549361796029
33,709.0044767642021,2219.207625313153
31,713.7284043026527,2132.855453647723
33,709.0044767642021,2219.207625313153
