Objective1,Objective2,Objective3
26,503.2546701391281,4029.822908801463
26,503.33864730441775,3960.7242444729045
25,525.2890671133686,3660.351033382113
25,512.5266874495825,3730.2901980995484
25,518.551210750102,3686.148487775333
25,506.9733416114916,4045.8599746713408
25,511.59917714399705,3990.8189652660194
26,505.83155244281926,3848.123003290636
26,503.7172342390266,3851.8072261367406
25,514.7758600903927,3725.5377036566088
25,511.1202064804114,4025.8665519653314
25,511.8263902909053,3988.3669680847916
24,526.8355250586118,3658.6028553454316
25,525.2890671133686,3660.351033382113
24,530.6146265934326,3628.4065814716173
24,518.5600691638996,3694.5515277333734
24,518.8532871664823,3694.551527733373
24,523.2733704073248,3668.359449178042
26,507.38125811816,3839.4195564649126
24,527.75646411934,3639.2878637573576
25,522.6488919137366,3675.6296934795287
24,519.8141416369266,3686.0512863769577
24,520.995987484969,3685.523776233866
