Iteration, IGD
1,0.455728703304529
2,0.44278287782569636
3,0.4194069110710775
4,0.41876149533888346
5,0.4154937342073521
6,0.4154937342073521
7,0.414306814602193
8,0.4034340399156957
9,0.4034340399156957
10,0.4034340399156957
11,0.4034340399156957
12,0.40315896859730316
13,0.40315896859730316
14,0.3990898031914463
15,0.394064494393414
16,0.39070408335162043
17,0.3903514879996436
18,0.3755883348230132
19,0.3753561401820824
20,0.3737160418598864
21,0.357031848396476
22,0.35700848385352535
23,0.35700848385352535
24,0.3500331183508309
25,0.34927253167625516
26,0.3424324149043328
27,0.34172222158089083
28,0.34150537784315094
29,0.3409122447598275
30,0.3388513830537583
31,0.3127839053440258
32,0.30112247576443757
33,0.3007776840674528
34,0.30077599089420365
35,0.2927593305502532
36,0.2925271919315568
37,0.2863288958975694
38,0.2863288958975694
39,0.2863288958975694
40,0.284490717745281
41,0.2844876302917256
42,0.2844876302917256
43,0.28445786975589565
44,0.2841075959981731
45,0.2841075959981731
46,0.2746821922327719
47,0.2745523497813077
48,0.2743221925990333
49,0.27381374848956397
50,0.27341316893023465
51,0.273145457045198
52,0.27216875350626596
53,0.2702497029298487
54,0.2702497029298487
55,0.26986073784957676
56,0.26986073784957676
57,0.2697109625471619
58,0.26819822661706333
59,0.26819822661706333
60,0.2614000438940652
61,0.25797620298865964
62,0.25797620298865964
63,0.25797620298865964
64,0.25797620298865964
65,0.25192719139927633
66,0.2518633331443991
67,0.2518633331443991
68,0.2515795279032725
69,0.25000002802581467
70,0.24974498688769015
71,0.24212215541509802
72,0.24207420657568465
