Iteration, IGD
1,0.8147085457219535
2,0.7488124099289863
3,0.7485982698405843
4,0.7118004633781244
5,0.6550953775820283
6,0.6525966314808807
7,0.6525847380415344
8,0.6480459564517712
9,0.6458321612225846
10,0.6400826285855055
11,0.6394157984905247
12,0.6370441880862887
13,0.6323327877673885
14,0.6321841222286251
15,0.6276414161207466
16,0.609655859284034
17,0.6071441251376839
18,0.603655999853211
19,0.603655999853211
20,0.6036171654855266
21,0.60273672016231
22,0.6007643871348926
23,0.6007584416504984
24,0.6007584416504984
25,0.6001225183010888
26,0.5989755957816844
27,0.5989514735850306
28,0.5574236007289616
29,0.5563704265812994
30,0.5563704265812994
31,0.5560028361464284
32,0.5560028361464284
33,0.5560028361464284
34,0.5560028361464284
35,0.5555150077128547
36,0.5533961975769851
37,0.5533961975769851
38,0.5396721833591661
39,0.5396721833591661
40,0.5394394175229636
41,0.5355144855401478
42,0.5354627729157708
43,0.5348338276905475
44,0.5348285745981859
45,0.5345273674456026
46,0.5345273674456026
47,0.533341185086778
48,0.533341185086778
49,0.533341185086778
50,0.533341185086778
51,0.5330467506243102
52,0.5330467506243102
53,0.5329641877005016
54,0.5329641877005016
55,0.5328015839930501
56,0.5328015839930501
57,0.5120444287026246
58,0.5120444287026246
59,0.5120444287026246
60,0.5119957686194115
61,0.5119957686194115
62,0.5119392951118573
