Objective1,Objective2,Objective3
26,2010.4758821746063,2963.2566390475436
25,2011.3451391700842,2976.263667465187
25,1980.23319537105,3031.503183630553
25,2067.8760842598863,2916.91216629877
25,2026.6718691250546,2931.6924233541667
26,1993.7125658517189,2986.7901529507894
27,2005.6033730567872,2955.231686431074
26,2003.8822735253325,2978.8995009865484
25,2012.6692519512387,2948.271549975235
26,2004.956383387394,2968.0728321737415
25,2040.60844991733,2928.1463745016704
25,2011.8056853368998,2971.4474743389897
26,2011.188106687322,2962.9522800334626
26,1970.779425124732,3044.02584177571
25,1928.6543826834268,3436.013474821613
25,2069.293283270648,2914.4224811454947
25,2010.9984672972153,2982.1190938918903
25,1947.5566883311237,3152.2698817482515
25,1987.7319850973531,3003.466440784817
25,2014.8629937763244,2945.9317317009272
24,2089.6676284007303,2938.149604345366
27,2006.0639192236033,2950.4154933048767
24,1987.7157212188886,3024.143237967857
26,2010.4758821746063,2963.2566390475436
25,2012.6692519512387,2948.271549975235
25,1980.6937415378661,3026.686990504355
26,1970.779425124732,3044.02584177571
26,1993.7125658517189,2986.7901529507894
25,1995.5502146895885,2988.9040437694075
25,2001.7819379895175,2983.7834916291285
24,2004.8914489406852,2999.9375319767164
25,1958.1981017722476,3088.0422473996573
24,1950.0474676754395,3128.7436274350493
25,2026.1530724004176,2932.2437483721155
25,2001.28438555573,2986.831123840089
26,1990.5258091765943,2990.511020998335
26,1986.0964444432716,3001.4267019145645
24,1957.0929028820424,3094.7380960286114
25,2044.6314910304657,2923.39316248841
25,1987.7319850973531,3003.466440784817
26,1930.0244126226373,3180.755062761016
24,1946.989292352521,3157.4427582674866
25,2014.2549055213797,2945.931731700928
25,2020.4866288213077,2940.8111795606487
24,1981.3376260643522,3035.1076433112053
25,2014.8629937763244,2945.9317317009272
24,1959.7307297359496,3055.9882075431246
24,2087.872656416491,2983.663356695995
25,1929.3351570020786,3199.7098489592076
26,2004.3428196921486,2974.0833078603505
25,2015.3235399431405,2941.1155385747297
